player,match_id,impact_score_0_100,rolling_im_last10,rank_in_last10_old_to_new
A Ashish Reddy,598048,40.02021667558934,43.60914375264577,1
A Ashish Reddy,829719,44.10289098409106,43.27412621479563,2
A Ashish Reddy,829727,59.85627620813194,45.855368171494966,3
A Ashish Reddy,829731,77.8196206087712,51.53092624534984,4
A Ashish Reddy,829759,73.26472478730867,56.22653093828421,5
A Ashish Reddy,829773,45.44184312172062,55.39526835688014,6
A Ashish Reddy,829815,51.72823249845126,55.642592393701534,7
A Ashish Reddy,980907,58.98477795148866,57.0648563828473,8
A Ashish Reddy,980915,60.20354073391016,58.078763203559035,9
A Ashish Reddy,980953,46.19527885567776,56.28742724787558,10
A Badoni,1473453,70.1800248426577,54.23427615626132,1
A Badoni,1473463,57.216841194827175,55.340489164800736,2
A Badoni,1473467,58.89822395666855,56.433396534345775,3
A Badoni,1473473,57.18310115641407,56.92551347773353,4
A Badoni,1473477,56.80892538468928,57.3161955737416,5
A Badoni,1473482,57.08659210378739,57.53214156873478,6
A Badoni,1473491,72.13025425110197,60.26653107767252,7
A Badoni,1473499,43.10001664844401,57.53198788565342,8
A Badoni,1473502,62.80108598997627,58.513264922948004,9
A Badoni,1473507,44.72046171463956,55.97693213228351,10
A Chandila,548373,51.15089534928784,56.897252930616744,1
A Chandila,548377,42.71363467725628,52.72294509609758,2
A Chandila,598014,52.31055861727381,52.55475105327256,3
A Chandila,598019,82.51803058531479,59.14586915683607,4
A Chandila,598023,60.08731446354607,59.47169367717024,5
A Chandila,598026,81.62487958289435,63.88365778913456,6
A Chandila,598032,43.16840021841702,60.43699530853675,7
A Chandila,598036,36.66687999270093,56.3102124692981,8
A Chandila,598047,61.024573313462696,57.04428505775857,9
A Chandila,598052,57.89664407179864,57.04489554039372,10
A Chopra,336010,45.671249023752736,45.671249023752736,1
A Chopra,336014,30.441348762918697,37.655512044366404,2
A Chopra,336017,27.03203954609717,33.69120468582451,3
A Chopra,336021,45.57849590216799,37.1265543590051,4
A Chopra,336035,50.20557905747226,40.39088763864898,5
A Chopra,392184,28.567670359100017,37.830744374323345,6
A Choudhary,1082591,49.80527784992859,49.80527784992859,1
A Choudhary,1082621,29.966195580973963,39.363655603110374,2
A Choudhary,1082628,59.635189892087226,46.83295859070617,3
A Choudhary,1082633,49.34091102933665,47.602715556454214,4
A Choudhary,1082636,44.60895238473252,46.89585696036106,5
A Dananjaya,1136569,10.926250017840571,10.926250017840571,1
A Flintoff,392181,21.491736428712397,21.491736428712397,1
A Flintoff,392185,63.21565661298824,43.451694420436525,2
A Flintoff,392189,9.843672686450752,31.08561214115188,3
A Kamboj,1426298,60.26367213449912,57.375654416813724,1
A Kamboj,1426305,38.49835452904177,50.395946712361905,2
A Kamboj,1473462,63.16276580371539,54.09968961075815,3
A Kamboj,1473467,51.400229469009055,53.43250507867508,4
A Kamboj,1473480,41.3277853829677,50.73525087108461,5
A Kamboj,1473486,68.79656263782257,54.33127270237127,6
A Kamboj,1473489,45.82077001353208,52.746614360631725,7
A Kamboj,1473494,33.75091192793674,49.20178111518558,8
A Kamboj,1473500,68.01600418975116,52.36124407958912,9
A Kamboj,1473504,58.13805770438863,53.3826399907528,10
A Kumble,419133,64.43564393627341,58.57321000980584,1
A Kumble,419136,50.18119820789953,57.07357126140073,2
A Kumble,419140,32.13499174127253,52.37156611166791,3
A Kumble,419145,33.00023046132114,48.66526814622896,4
A Kumble,419148,64.18782249689946,51.307887394590416,5
A Kumble,419151,47.95319396713369,50.68517107774649,6
A Kumble,419154,66.19113491402138,53.09570154357144,7
A Kumble,419157,45.08700095028601,51.480986297802104,8
A Kumble,419162,53.20756185602277,51.45656814081385,9
A Kumble,419164,43.18057472605763,49.75581763043078,10
A Manohar,1359509,82.75830112885032,58.89594298640015,1
A Manohar,1359518,18.68194948039468,52.330027739782594,2
A Manohar,1359531,50.20557905747226,52.02866295670014,3
A Manohar,1426262,50.00082029684469,51.754676715359345,4
A Manohar,1426270,37.65390033204428,49.16241213818888,5
A Manohar,1473439,48.57061926465453,48.6699434354592,6
A Manohar,1473444,39.27473791194368,46.36865704876706,7
A Manohar,1473447,46.59334232374373,45.58694494826579,8
A Manohar,1473478,15.630766312936087,39.55883778681137,9
A Manohar,1473503,50.05186182558754,40.71456099533527,10
A Mhatre,1473475,82.56315577061744,82.56315577061744,1
A Mhatre,1473480,71.18215666314073,76.57315624036654,2
A Mhatre,1473486,55.354120150695366,68.6920688014874,3
A Mhatre,1473489,62.19604304209736,66.69255457284353,4
A Mhatre,1473494,47.98900653836085,61.90353613084344,5
A Mhatre,1473500,88.82712309249166,67.66951542208318,6
A Mhatre,1473504,82.27061834908716,70.60658718831041,7
A Mishra,1254077,48.48021521299833,57.36308658337575,1
A Mishra,1254079,69.14113017172694,59.19729961147448,2
A Mishra,1359484,58.753739012467605,58.989994862164764,3
A Mishra,1359489,52.42562057692045,57.64094527560457,4
A Mishra,1359500,63.23715616566157,58.512551116770894,5
A Mishra,1359504,68.73494774974598,60.52996609603042,6
A Mishra,1359512,45.75872604182055,58.168522804102125,7
A Mishra,1359517,0.0,47.41661997383701,8
A Mishra,1359532,26.93743291523629,42.897621604849704,9
A Mishra,1426282,32.878992828564336,39.87017361897881,10
A Mithun,501244,42.47428613655328,49.23853420330236,1
A Mithun,501247,77.96924094130023,54.72199510996524,2
A Mithun,501255,57.4194721848303,55.46171086978834,3
A Mithun,501260,53.14284986395615,55.34791514227957,4
A Mithun,501266,43.95579978947365,53.605907783152745,5
A Mithun,501268,40.204827844123386,51.13629776000016,6
A Mithun,501270,40.684000419968925,49.20107518730732,7
A Mithun,501271,48.564362918417146,48.645539474312,8
A Mithun,548356,56.04164316165206,49.80940668833268,9
A Mithun,598057,41.82603082701378,48.00342823734007,10
A Mukund,336033,48.629972883901615,48.629972883901615,1
A Mukund,598036,35.67339770549076,41.810722790001165,2
A Nehra,980973,52.79125367340638,46.60365633848065,1
A Nehra,980979,36.75785332883749,45.231348939219586,2
A Nehra,980983,46.22306278643652,45.88689615178958,3
A Nehra,980991,50.206713170489486,47.098918737831326,4
A Nehra,1082591,31.91209911264983,44.85359342606789,5
A Nehra,1082596,67.233232009357,49.19165463863799,6
A Nehra,1082600,15.94203334958177,43.29334260719428,7
