team,player,matches
Deccan Chargers,SB Bangar,9
Deccan Chargers,V Pratap Singh,9
Deccan Chargers,Jaskaran Singh,8
Deccan Chargers,AA Bilakhia,7
Deccan Chargers,Shoaib Ahmed,7
Deccan Chargers,AS Yadav,6
Deccan Chargers,Anand Rajan,6
Deccan Chargers,FH Edwards,6
Deccan Chargers,R Sharma,6
Deccan Chargers,IR Jaggi,5
Deccan Chargers,AA Jhunjhunwala,4
Deccan Chargers,Anirudh Singh,4
Deccan Chargers,B Sumanth,4
Deccan Chargers,DJ Harris,4
Deccan Chargers,PA Reddy,4
Deccan Chargers,D Kalyankrishna,3
Deccan Chargers,DNT Zoysa,3
Deccan Chargers,LPC Silva,3
Deccan Chargers,MR Marsh,3
Deccan Chargers,TP Sudhindra,3
Deccan Chargers,J Theron,2
Deccan Chargers,KAJ Roach,2
Deccan Chargers,PM Sarvesh Kumar,2
Deccan Chargers,BB Samantray,1
Deccan Chargers,CA Lynn,1
Deccan Chargers,H Das,1
Deccan Chargers,I Malhotra,1
Deccan Chargers,MJ Lumb,1
Delhi Capitals,RR Pant,110
Delhi Capitals,A Mishra,99
Delhi Capitals,AR Patel,95
Delhi Capitals,DA Warner,89
Delhi Capitals,SS Iyer,87
Delhi Capitals,PP Shaw,79
Delhi Capitals,V Sehwag,79
Delhi Capitals,S Dhawan,63
Delhi Capitals,S Nadeem,60
Delhi Capitals,Kuldeep Yadav,53
Delhi Capitals,K Rabada,50
Delhi Capitals,KD Karthik,49
Delhi Capitals,A Nortje,46
Delhi Capitals,UT Yadav,46
Delhi Capitals,IK Pathan,45
Delhi Capitals,G Gambhir,44
Delhi Capitals,JP Duminy,37
Delhi Capitals,KM Jadhav,37
Delhi Capitals,M Morkel,37
Delhi Capitals,CH Morris,34
Delhi Capitals,I Sharma,34
Delhi Capitals,KK Ahmed,33
Delhi Capitals,KK Nair,33
Delhi Capitals,NV Ojha,33
Delhi Capitals,Mohammed Shami,32
Delhi Capitals,Mukesh Kumar,32
Delhi Capitals,DPMD Jayawardene,30
Delhi Capitals,Z Khan,30
Delhi Capitals,Abishek Porel,29
Delhi Capitals,PJ Sangwan,28
Delhi Capitals,R Ashwin,28
Delhi Capitals,SV Samson,28
Delhi Capitals,A Nehra,27
Delhi Capitals,MP Stoinis,27
Delhi Capitals,T Stubbs,27
Delhi Capitals,AB de Villiers,26
Delhi Capitals,TM Dilshan,26
Delhi Capitals,Lalit Yadav,25
Delhi Capitals,Avesh Khan,24
Delhi Capitals,SO Hetmyer,24
Delhi Capitals,Q de Kock,23
Delhi Capitals,DP Nannes,22
Delhi Capitals,R Bhatia,22
Delhi Capitals,MA Agarwal,21
Delhi Capitals,MR Marsh,21
Delhi Capitals,Y Venugopal Rao,21
Delhi Capitals,Imran Tahir,20
