match_id,innings,bowler,balls,runs_conceded,wickets,dot_balls,pp_balls,mid_balls,death_balls,overs,economy
1136567,2,PJ Sangwan,12,20,0,4,12,0,0,2.0,10.0
1136568,1,CR Woakes,20,36,2,7,6,7,10,3.3333333333333335,10.799999999999999
1136568,1,K Khejroliya,24,34,2,7,12,12,0,4.0,8.5
1136568,1,UT Yadav,24,23,3,13,18,0,6,4.0,5.75
1136568,1,Washington Sundar,24,23,2,7,0,24,0,4.0,5.75
1136568,1,YS Chahal,24,39,1,5,0,18,6,4.0,9.75
1136568,2,AJ Tye,24,28,1,6,6,13,6,4.0,7.0
1136568,2,AR Patel,24,26,1,9,6,18,0,4.0,6.5
1136568,2,MM Sharma,21,45,0,3,0,12,9,3.5,12.857142857142858
1136568,2,Mujeeb Ur Rahman,24,30,1,10,12,6,6,4.0,7.5
1136568,2,R Ashwin,24,30,2,11,12,12,0,4.0,7.5
1136569,1,DT Christian,18,35,2,5,6,12,0,3.0,11.666666666666666
1136569,1,GJ Maxwell,18,21,0,5,0,19,0,3.0,7.0
1136569,1,Mohammed Shami,24,36,1,10,6,6,12,4.0,9.0
1136569,1,R Tewatia,24,36,2,8,0,25,0,4.0,9.0
1136569,1,S Nadeem,12,22,0,4,14,0,0,2.0,11.0
1136569,1,TA Boult,24,44,2,5,12,0,13,4.0,11.0
1136569,2,A Dananjaya,24,47,0,6,6,19,0,4.0,11.75
1136569,2,HH Pandya,12,32,0,2,12,0,0,2.0,16.0
1136569,2,JJ Bumrah,24,27,0,9,6,6,12,4.0,6.75
1136569,2,KH Pandya,18,21,2,8,0,18,0,3.0,7.0
1136569,2,M Markande,18,42,0,2,0,18,0,3.0,14.0
1136569,2,Mustafizur Rahman,24,26,1,10,12,0,12,4.0,6.5
1136570,1,B Kumar,24,26,3,13,12,0,14,4.0,6.5
1136570,1,B Stanlake,24,21,2,15,12,12,0,4.0,5.25
1136570,1,Rashid Khan,24,31,0,5,6,12,6,4.0,7.75
1136570,1,S Kaul,24,38,1,9,6,12,6,4.0,9.5
1136570,1,Shakib Al Hasan,24,22,2,10,0,25,0,4.0,5.5
1136570,2,AD Russell,18,39,0,4,6,6,6,3.0,13.0
