player,player_name,impact_metric_last10,matches_available,last_match_id,team
MEK Hussey,MEK Hussey,46.69,58,829823,Chennai Super Kings
MK Tiwary,MK Tiwary,46.68,85,1136616,Delhi Daredevils
DB Ravi Teja,DB Ravi Teja,46.66,25,598013,Sunrisers Hyderabad
SA Asnodkar,SA Asnodkar,46.64,19,501220,Rajasthan Royals
IS Sodhi,IS Sodhi,46.62,8,1178428,Rajasthan Royals
JC Archer,JC Archer,46.59,52,1473490,Rajasthan Royals
PR Shah,PR Shah,46.54,9,501258,Rajasthan Royals
KM Jadhav,KM Jadhav,46.53,81,1359528,Royal Challengers Bangalore
MB Parmar,MB Parmar,46.52,1,419135,Kolkata Knight Riders
Suryansh Shedge,Suryansh Shedge,46.46,3,1473486,Punjab Kings
Azmatullah Omarzai,Azmatullah Omarzai,46.46,15,1485779,Punjab Kings
DS Kulkarni,DS Kulkarni,46.45,92,1254084,Gujarat Lions
RP Singh,RP Singh,46.43,82,980979,Mumbai Indians
CH Morris,CH Morris,46.42,81,1254111,Delhi Daredevils
SK Rasheed,SK Rasheed,46.41,5,1473489,Chennai Super Kings
N Jagadeesan,N Jagadeesan,46.37,10,1359513,Kolkata Knight Riders
DH Yagnik,DH Yagnik,46.36,17,734003,Rajasthan Royals
SC Kuggeleijn,SC Kuggeleijn,46.33,2,1178398,Chennai Super Kings
KP Appanna,KP Appanna,46.3,13,548367,Royal Challengers Bangalore
IK Pathan,IK Pathan,46.29,102,1082625,Rising Pune Supergiants
Harbhajan Singh,Harbhajan Singh,46.27,163,1254067,Mumbai Indians
Shivam Singh,Shivam Singh,46.2,1,1426307,Punjab Kings
M Morkel,M Morkel,46.19,70,981015,Kolkata Knight Riders
TL Suman,TL Suman,46.19,40,598042,Pune Warriors
YK Pathan,YK Pathan,46.19,161,1178429,Kolkata Knight Riders
RV Uthappa,RV Uthappa,46.18,197,1304105,Kolkata Knight Riders
F du Plessis,F du Plessis,46.15,147,1485779,Rising Pune Supergiants
R Sharma,R Sharma,46.13,44,733975,Pune Warriors
DB Das,DB Das,46.04,22,598061,Kolkata Knight Riders
DJ Harris,DJ Harris,45.99,4,548359,Deccan Chargers
Shoaib Ahmed,Shoaib Ahmed,45.96,7,392223,Deccan Chargers
PM Sarvesh Kumar,PM Sarvesh Kumar,45.95,2,336037,Deccan Chargers
JEC Franklin,JEC Franklin,45.88,19,548379,Mumbai Indians
Anmolpreet Singh,Anmolpreet Singh,45.87,9,1426288,Sunrisers Hyderabad
M Theekshana,M Theekshana,45.83,38,1473490,Rajasthan Royals
NA Saini,NA Saini,45.6,28,1359478,Royal Challengers Bangalore
YV Dhull,YV Dhull,45.58,3,1359541,Delhi Capitals
S Tyagi,S Tyagi,45.56,14,419159,Chennai Super Kings
JE Root,JE Root,45.56,2,1359534,Rajasthan Royals
GB Hogg,GB Hogg,45.54,21,980975,Kolkata Knight Riders
MS Bhandage,MS Bhandage,45.54,1,1473471,Royal Challengers Bengaluru
LH Ferguson,LH Ferguson,45.49,49,1473464,Punjab Kings
AD Nath,AD Nath,45.47,10,1178417,Gujarat Lions
R Ashwin,R Ashwin,45.41,217,1473500,Rising Pune Supergiants
B Chipli,B Chipli,45.4,21,598067,Delhi Daredevils
MS Dhoni,MS Dhoni,45.4,241,1473500,Rising Pune Supergiants
SD Chitnis,SD Chitnis,45.36,9,548374,Kings XI Punjab
SS Tiwary,SS Tiwary,45.35,73,1254112,Rising Pune Supergiants
C Ganapathy,C Ganapathy,45.34,1,419133,Chennai Super Kings
DJ Hussey,DJ Hussey,45.33,61,734047,Chennai Super Kings
D Ferreira,D Ferreira,45.19,3,1473472,Delhi Capitals
T Banton,T Banton,45.09,2,1216540,Kolkata Knight Riders
VVS Laxman,VVS Laxman,45.03,20,501225,Kochi Tuskers Kerala
GH Vihari,GH Vihari,44.98,23,1175368,Sunrisers Hyderabad
KS Sharma,KS Sharma,44.92,3,1359542,Lucknow Super Giants
RJ Gleeson,RJ Gleeson,44.86,3,1473509,Chennai Super Kings
Kartik Tyagi,Kartik Tyagi,44.8,20,1426297,Sunrisers Hyderabad
Ankit Soni,Ankit Soni,44.79,6,1082643,Gujarat Lions
SD Lad,SD Lad,44.79,1,1178399,Mumbai Indians
BB Samantray,BB Samantray,44.73,8,598071,Sunrisers Hyderabad
W Jaffer,W Jaffer,44.7,8,392213,Royal Challengers Bangalore
Aman Hakim Khan,Aman Hakim Khan,44.68,10,1359541,Delhi Capitals
MG Bracewell,MG Bracewell,44.64,5,1359544,Royal Challengers Bangalore
Sachin Baby,Sachin Baby,44.57,13,1254087,Royal Challengers Bangalore
DJ Thornely,DJ Thornely,44.57,5,336024,Mumbai Indians
KC Cariappa,KC Cariappa,44.57,11,1178413,Kings XI Punjab
I Sharma,I Sharma,44.53,117,1473488,Deccan Chargers
IC Pandey,IC Pandey,44.47,24,829809,Pune Warriors
HR Shokeen,HR Shokeen,44.42,13,1370351,Mumbai Indians
MS Wade,MS Wade,44.4,14,1426262,Delhi Daredevils
BR Sharath,BR Sharath,44.11,1,1422139,Gujarat Titans
DR Shorey,DR Shorey,44.11,2,1178419,Chennai Super Kings
UBT Chand,UBT Chand,44.09,20,980985,Mumbai Indians
MM Ali,MM Ali,44.04,69,1473494,Kolkata Knight Riders
Salman Butt,Salman Butt,44.01,7,336035,Kolkata Knight Riders
RV Patel,RV Patel,44.0,7,1359529,Delhi Capitals
T Natarajan,T Natarajan,44.0,63,1473498,Sunrisers Hyderabad
Azhar Mahmood,Azhar Mahmood,43.99,23,829811,Kolkata Knight Riders
TA Boult,TA Boult,43.98,119,1473510,Mumbai Indians
VY Mahesh,VY Mahesh,43.97,17,548371,Delhi Daredevils
AP Tare,AP Tare,43.9,27,1082614,Sunrisers Hyderabad
AC Voges,AC Voges,43.9,8,419158,Rajasthan Royals
J Overton,J Overton,43.87,3,1473475,Chennai Super Kings
Joginder Sharma,Joginder Sharma,43.84,16,501221,Chennai Super Kings
LA Pomersbach,LA Pomersbach,43.84,16,598059,Kings XI Punjab
S Badrinath,S Badrinath,43.74,65,598073,Chennai Super Kings
M Kartik,M Kartik,43.66,55,733987,Royal Challengers Bangalore
S Dube,S Dube,43.65,76,1473504,Chennai Super Kings
CA Ingram,CA Ingram,43.55,15,1178428,Delhi Daredevils
M de Lange,M de Lange,43.41,5,829789,Mumbai Indians
TU Deshpande,TU Deshpande,43.4,46,1473500,Rajasthan Royals
Shoaib Akhtar,Shoaib Akhtar,43.26,3,336025,Kolkata Knight Riders
Anirudh Singh,Anirudh Singh,43.25,4,419164,Deccan Chargers
MJ Henry,MJ Henry,43.2,6,1426305,Lucknow Super Giants
Mujeeb Ur Rahman,Mujeeb Ur Rahman,43.19,20,1473446,Sunrisers Hyderabad
PA Reddy,PA Reddy,43.17,10,598048,Sunrisers Hyderabad
Shivam Mavi,Shivam Mavi,43.17,32,1304099,Kolkata Knight Riders
AS Raut,AS Raut,43.13,17,501252,Rajasthan Royals
P Parameswaran,P Parameswaran,42.98,8,548376,Royal Challengers Bangalore
MN Samuels,MN Samuels,42.94,15,1082646,Pune Warriors
SM Curran,SM Curran,42.9,64,1473489,Chennai Super Kings
M Klinger,M Klinger,42.89,4,501247,Kochi Tuskers Kerala
E Malinga,E Malinga,42.85,7,1473505,Sunrisers Hyderabad
JL Pattinson,JL Pattinson,42.76,10,1216547,Mumbai Indians
Noor Ahmad,Noor Ahmad,42.74,37,1473504,Chennai Super Kings
Mohammad Hafeez,Mohammad Hafeez,42.73,8,336027,Kolkata Knight Riders
MA Khote,MA Khote,42.7,3,335994,Mumbai Indians
NV Ojha,NV Ojha,42.66,94,1136596,Sunrisers Hyderabad
V Puthur,V Puthur,42.66,5,1473478,Mumbai Indians
WA Mota,WA Mota,42.65,10,392234,Kings XI Punjab
K Kartikeya,K Kartikeya,42.63,16,1473487,Rajasthan Royals
S Chanderpaul,S Chanderpaul,42.63,3,336010,Royal Challengers Bangalore
LI Meriwala,LI Meriwala,42.56,1,1254068,Delhi Capitals
YV Takawale,YV Takawale,42.52,10,734035,Royal Challengers Bangalore
WPUJC Vaas,WPUJC Vaas,42.49,13,419160,Deccan Chargers
DG Nalkande,DG Nalkande,42.42,6,1422139,Gujarat Titans
S Kaul,S Kaul,42.41,55,1304113,Delhi Daredevils
FY Fazal,FY Fazal,42.39,12,501258,Rajasthan Royals
RJ Quiney,RJ Quiney,42.36,7,392233,Rajasthan Royals
Ashwani Kumar,Ashwani Kumar,42.32,7,1473510,Mumbai Indians
MS Bisla,MS Bisla,42.27,39,829745,Royal Challengers Bangalore
DJ Muthuswami,DJ Muthuswami,42.25,6,829757,Delhi Daredevils
S Badree,S Badree,42.2,12,1082636,Royal Challengers Bangalore
JR Hopes,JR Hopes,42.2,20,501257,Delhi Daredevils
RS Gavaskar,RS Gavaskar,42.18,2,419113,Kolkata Knight Riders
PP Ojha,PP Ojha,42.17,90,829705,Mumbai Indians
Zeeshan Ansari,Zeeshan Ansari,42.15,10,1473499,Sunrisers Hyderabad
AU Rashid,AU Rashid,42.11,3,1359484,Sunrisers Hyderabad
EJG Morgan,EJG Morgan,42.1,74,1254117,Sunrisers Hyderabad
YA Abdulla,YA Abdulla,42.09,11,419112,Kings XI Punjab
VR Aaron,VR Aaron,42.06,50,1304056,Royal Challengers Bangalore
AM Nayar,AM Nayar,42.03,51,729305,Rajasthan Royals
H Sharma,H Sharma,42.01,2,1422137,Royal Challengers Bengaluru
J Little,J Little,41.94,11,1426290,Gujarat Titans
Kamran Khan,Kamran Khan,41.91,9,501232,Rajasthan Royals
JP Faulkner,JP Faulkner,41.88,60,1082643,Gujarat Lions
GJ Bailey,GJ Bailey,41.86,36,981005,Rising Pune Supergiants
A Mukund,A Mukund,41.81,2,598036,Royal Challengers Bangalore
Akash Singh,Akash Singh,41.8,10,1473507,Lucknow Super Giants
Vijaykumar Vyshak,Vijaykumar Vyshak,41.79,16,1473511,Royal Challengers Bengaluru
KJ Abbott,KJ Abbott,41.75,5,981005,Kings XI Punjab
WD Parnell,WD Parnell,41.74,33,1359544,Delhi Daredevils
M Ashwin,M Ashwin,41.74,44,1359526,Rising Pune Supergiants
SR Watson,SR Watson,41.72,145,1216539,Royal Challengers Bangalore
SL Malinga,SL Malinga,41.63,122,1181768,Mumbai Indians
DL Chahar,DL Chahar,41.63,95,1473506,Mumbai Indians
N Burger,N Burger,41.63,5,1426299,Rajasthan Royals
S Sandeep Warrier,S Sandeep Warrier,41.61,10,1426297,Gujarat Titans
RK Bhui,RK Bhui,41.57,4,1422127,Delhi Capitals
RD Chahar,RD Chahar,41.53,78,1473470,Punjab Kings
AP Dole,AP Dole,41.53,3,419150,Rajasthan Royals
Younis Khan,Younis Khan,41.5,1,336019,Rajasthan Royals
RR Powar,RR Powar,41.44,26,548359,Kochi Tuskers Kerala
A Nehra,A Nehra,41.36,88,1082634,Sunrisers Hyderabad
M Jansen,M Jansen,41.36,35,1485779,Punjab Kings
T Kohli,T Kohli,41.35,3,392186,Kings XI Punjab
SB Bangar,SB Bangar,41.33,10,392190,Kolkata Knight Riders
D du Preez,D du Preez,41.31,2,392213,Royal Challengers Bangalore
P Awana,P Awana,41.25,33,734049,Kings XI Punjab
S Sreesanth,S Sreesanth,41.21,44,598052,Rajasthan Royals
DJ Hooda,DJ Hooda,41.19,107,1473504,Sunrisers Hyderabad
KA Pollard,KA Pollard,41.15,179,1304102,Mumbai Indians
S Sohal,S Sohal,41.06,20,501259,Deccan Chargers
Mohammed Siraj,Mohammed Siraj,41.06,108,1473509,Gujarat Titans
L Balaji,L Balaji,41.02,73,734049,Kings XI Punjab
MG Johnson,MG Johnson,41.0,54,1136597,Kings XI Punjab
JH Kallis,JH Kallis,40.97,98,733997,Kolkata Knight Riders
VS Yeligati,VS Yeligati,40.94,2,336028,Mumbai Indians
RJ Peterson,RJ Peterson,40.93,5,548355,Mumbai Indians
Yash Thakur,Yash Thakur,40.86,21,1473464,Punjab Kings
M Pathirana,M Pathirana,40.83,32,1473504,Chennai Super Kings
MN van Wyk,MN van Wyk,40.82,5,392219,Kolkata Knight Riders
A Zampa,A Zampa,40.77,22,1473444,Rising Pune Supergiants
Gurkeerat Singh,Gurkeerat Singh,40.76,32,1216544,Kings XI Punjab
A Manohar,A Manohar,40.71,20,1473503,Sunrisers Hyderabad
HE van der Dussen,HE van der Dussen,40.69,3,1304104,Rajasthan Royals
P Negi,P Negi,40.68,46,1178424,Delhi Daredevils
Suyash Sharma,Suyash Sharma,40.67,27,1473511,Royal Challengers Bengaluru
AB Barath,AB Barath,40.65,3,419149,Kings XI Punjab
SB Joshi,SB Joshi,40.62,4,335998,Royal Challengers Bangalore
PV Tambe,PV Tambe,40.56,33,980987,Gujarat Lions
V Viyaskanth,V Viyaskanth,40.55,3,1426309,Sunrisers Hyderabad
R Dravid,R Dravid,40.54,82,598072,Rajasthan Royals
MA Starc,MA Starc,40.49,51,1473495,Royal Challengers Bangalore
AP Majumdar,AP Majumdar,40.48,4,548375,Pune Warriors
DJ Jacobs,DJ Jacobs,40.45,7,548325,Mumbai Indians
DPMD Jayawardene,DPMD Jayawardene,40.44,78,598067,Delhi Daredevils
JDP Oram,JDP Oram,40.43,15,597999,Rajasthan Royals
BW Hilfenhaus,BW Hilfenhaus,40.42,17,734023,Chennai Super Kings
FA Allen,FA Allen,40.4,5,1304072,Mumbai Indians
P Dubey,P Dubey,40.37,5,1485779,Delhi Capitals
M Vijay,M Vijay,40.37,105,1216539,Kings XI Punjab
AG Paunikar,AG Paunikar,40.36,5,501214,Rajasthan Royals
W O'Rourke,W O'Rourke,40.31,3,1473507,Lucknow Super Giants
KR Sen,KR Sen,40.22,12,1426269,Rajasthan Royals
Sumit Kumar,Sumit Kumar,40.22,3,1426270,Delhi Capitals
T Shamsi,T Shamsi,40.17,5,1254097,Rajasthan Royals
KW Richardson,KW Richardson,40.15,15,1254073,Royal Challengers Bangalore
J Suchith,J Suchith,40.11,21,1304116,Mumbai Indians
B Indrajith,B Indrajith,40.03,3,1304099,Kolkata Knight Riders
MC Juneja,MC Juneja,39.98,7,598059,Delhi Daredevils
S Narwal,S Narwal,39.97,7,598043,Kolkata Knight Riders
AF Milne,AF Milne,39.96,10,1304047,Mumbai Indians
B Sumanth,B Sumanth,39.94,4,419163,Deccan Chargers
Rashid Khan,Rashid Khan,39.88,136,1473509,Gujarat Titans
AT Carey,AT Carey,39.87,3,1216543,Delhi Capitals
A Mishra,A Mishra,39.87,162,1426282,Delhi Daredevils
KM Asif,KM Asif,39.82,7,1359534,Rajasthan Royals
DW Steyn,DW Steyn,39.81,95,1216534,Gujarat Lions
KS Rathore,KS Rathore,39.81,1,1473490,Rajasthan Royals
N Saini,N Saini,39.78,10,548371,Kings XI Punjab
Mohammed Shami,Mohammed Shami,39.66,119,1473488,Delhi Daredevils
S Ladda,S Ladda,39.65,9,980905,Delhi Daredevils
H Das,H Das,39.65,1,336024,Deccan Chargers
JR Philippe,JR Philippe,39.64,5,1216534,Royal Challengers Bangalore
KL Nagarkoti,KL Nagarkoti,39.63,12,1304048,Kolkata Knight Riders
LR Shukla,LR Shukla,39.59,43,733993,Delhi Daredevils
CV Varun,CV Varun,39.57,83,1473505,Kolkata Knight Riders
SS Cottrell,SS Cottrell,39.56,6,1216542,Kings XI Punjab
G Coetzee,G Coetzee,39.51,14,1473509,Gujarat Titans
PJ Sangwan,PJ Sangwan,39.5,42,1304097,Kolkata Knight Riders
Fazalhaq Farooqi,Fazalhaq Farooqi,39.5,12,1473497,Rajasthan Royals
CJ Anderson,CJ Anderson,39.44,30,1136584,Mumbai Indians
JP Duminy,JP Duminy,39.42,79,1136597,Delhi Daredevils
GS Sandhu,GS Sandhu,39.4,2,829801,Delhi Daredevils
SPD Smith,SPD Smith,39.38,93,1254112,Rising Pune Supergiants
CR Woakes,CR Woakes,39.23,21,1254068,Delhi Capitals
Lalit Yadav,Lalit Yadav,39.18,25,1426273,Delhi Capitals
SH Johnson,SH Johnson,39.12,9,1473456,Kolkata Knight Riders
SJ Srivastava,SJ Srivastava,39.1,14,501260,Kings XI Punjab
LRPL Taylor,LRPL Taylor,39.09,54,734011,Delhi Daredevils
AL Menaria,AL Menaria,39.03,25,598001,Rajasthan Royals
R Vinay Kumar,R Vinay Kumar,39.0,104,1136565,Mumbai Indians
Mayank Dagar,Mayank Dagar,38.97,8,1422137,Royal Challengers Bengaluru
K Rabada,K Rabada,38.97,84,1473502,Gujarat Titans
R Minz,R Minz,38.93,2,1473446,Mumbai Indians
PVD Chameera,PVD Chameera,38.86,19,1473501,Delhi Capitals
KC Sangakkara,KC Sangakkara,38.79,68,598051,Sunrisers Hyderabad
R Goyal,R Goyal,38.71,1,1359523,Mumbai Indians
TS Mills,TS Mills,38.69,10,1304072,Mumbai Indians
JR Hazlewood,JR Hazlewood,38.69,39,1473511,Royal Challengers Bengaluru
Shivam Sharma,Shivam Sharma,38.67,5,829741,Kings XI Punjab
Harpreet Singh,Harpreet Singh,38.61,8,1426275,Pune Warriors
S Gopal,S Gopal,38.6,51,1426271,Mumbai Indians
JD Ryder,JD Ryder,38.59,29,548375,Pune Warriors
Mohammad Asif,Mohammad Asif,38.56,8,336038,Delhi Daredevils
AJ Tye,AJ Tye,38.44,30,1304061,Rajasthan Royals
KK Ahmed,KK Ahmed,38.44,71,1473504,Chennai Super Kings
Basil Thampi,Basil Thampi,38.44,25,1304069,Sunrisers Hyderabad
A Tomar,A Tomar,38.42,1,1304112,Kolkata Knight Riders
M Rawat,M Rawat,38.39,11,598053,Pune Warriors
M Markande,M Markande,38.27,37,1426279,Sunrisers Hyderabad
LB Williams,LB Williams,38.21,2,1426285,Delhi Capitals
GC Smith,GC Smith,38.13,29,501241,Pune Warriors
BB Sran,BB Sran,38.07,24,1178426,Sunrisers Hyderabad
Shahbaz Ahmed,Shahbaz Ahmed,37.93,53,1473507,Lucknow Super Giants
Pankaj Singh,Pankaj Singh,37.88,17,548361,Royal Challengers Bangalore
Sunny Gupta,Sunny Gupta,37.88,1,548380,Delhi Daredevils
A Chopra,A Chopra,37.83,6,392184,Kolkata Knight Riders
K Khejroliya,K Khejroliya,37.81,8,1473460,Gujarat Titans
KS Williamson,KS Williamson,37.69,76,1422139,Sunrisers Hyderabad
RR Sarwan,RR Sarwan,37.66,4,336013,Kings XI Punjab
AA Noffke,AA Noffke,37.58,1,335982,Royal Challengers Bangalore
GC Viljoen,GC Viljoen,37.33,6,1178417,Kings XI Punjab
KA Jamieson,KA Jamieson,37.15,13,1473511,Punjab Kings
Akash Deep,Akash Deep,37.03,14,1473502,Lucknow Super Giants
SC Ganguly,SC Ganguly,36.91,57,548375,Pune Warriors
M Prasidh Krishna,M Prasidh Krishna,36.88,66,1473509,Rajasthan Royals
AA Bilakhia,AA Bilakhia,36.85,7,419141,Deccan Chargers
S Kaushik,S Kaushik,36.81,10,1082610,Gujarat Lions
IR Jaggi,IR Jaggi,36.67,7,1082649,Deccan Chargers
P Dogra,P Dogra,36.57,12,598069,Kolkata Knight Riders
JPR Scantlebury-Searles,JPR Scantlebury-Searles,36.47,3,1136618,Kolkata Knight Riders
CJ McKay,CJ McKay,36.33,2,548339,Mumbai Indians
YS Chahal,YS Chahal,36.32,172,1473511,Royal Challengers Bangalore
G Gambhir,G Gambhir,36.28,151,1136582,Kolkata Knight Riders
ML Hayden,ML Hayden,36.22,32,419165,Chennai Super Kings
TG Southee,TG Southee,36.03,54,1359483,Mumbai Indians
Akash Madhwal,Akash Madhwal,36.02,17,1473500,Rajasthan Royals
Mukesh Kumar,Mukesh Kumar,35.89,32,1485779,Delhi Capitals
ND Doshi,ND Doshi,35.88,4,501258,Rajasthan Royals
CJ Ferguson,CJ Ferguson,35.82,8,548375,Pune Warriors
TP Sudhindra,TP Sudhindra,35.79,3,548366,Deccan Chargers
R Shukla,R Shukla,35.63,7,734011,Delhi Daredevils
S Lamichhane,S Lamichhane,35.45,9,1178421,Delhi Capitals
K Goel,K Goel,35.45,16,419132,Kings XI Punjab
R Sanjay Yadav,R Sanjay Yadav,35.33,1,1304111,Mumbai Indians
S Joseph,S Joseph,35.24,1,1426266,Lucknow Super Giants
CK Kapugedera,CK Kapugedera,35.24,4,336040,Chennai Super Kings
C Bosch,C Bosch,35.19,3,1473493,Mumbai Indians
AR Bawne,AR Bawne,35.15,1,1082622,Delhi Daredevils
CA Pujara,CA Pujara,35.14,22,733973,Kings XI Punjab
MA Wood,MA Wood,34.89,5,1359495,Lucknow Super Giants
B Stanlake,B Stanlake,34.89,6,1136580,Sunrisers Hyderabad
Mukesh Choudhary,Mukesh Choudhary,34.76,16,1473459,Chennai Super Kings
UT Yadav,UT Yadav,34.64,147,1426297,Kolkata Knight Riders
Rasikh Salam,Rasikh Salam,34.56,13,1473451,Delhi Capitals
Niraj Patel,Niraj Patel,34.54,6,392233,Rajasthan Royals
SM Harwood,SM Harwood,34.49,3,392217,Rajasthan Royals
A Symonds,A Symonds,34.48,36,501256,Mumbai Indians
PC Valthaty,PC Valthaty,34.27,23,598021,Kings XI Punjab
Naveen-ul-Haq,Naveen-ul-Haq,34.21,17,1426305,Lucknow Super Giants
R Sai Kishore,R Sai Kishore,34.17,25,1473509,Gujarat Titans
Virat Singh,Virat Singh,34.15,2,1254077,Sunrisers Hyderabad
OA Shah,OA Shah,34.09,22,598043,Rajasthan Royals
PSP Handscomb,PSP Handscomb,33.98,1,980957,Rising Pune Supergiants
Harsh Dubey,Harsh Dubey,33.89,3,1473505,Sunrisers Hyderabad
RT Ponting,RT Ponting,33.87,9,598019,Mumbai Indians
VG Arora,VG Arora,33.77,32,1473505,Kolkata Knight Riders
Umran Malik,Umran Malik,33.55,26,1422126,Sunrisers Hyderabad
RR Bose,RR Bose,33.48,1,392191,Kings XI Punjab
CJ Jordan,CJ Jordan,33.24,34,1370352,Royal Challengers Bangalore
HH Gibbs,HH Gibbs,33.2,36,548370,Mumbai Indians
R Ninan,R Ninan,33.06,2,501211,Royal Challengers Bangalore
XC Bartlett,XC Bartlett,32.92,4,1473497,Punjab Kings
DJ Malan,DJ Malan,32.91,1,1254086,Punjab Kings
B Kumar,B Kumar,32.74,190,1473511,Sunrisers Hyderabad
Yudhvir Singh,Yudhvir Singh,32.73,9,1473500,Lucknow Super Giants
RP Meredith,RP Meredith,32.63,18,1359516,Mumbai Indians
AJ Hosein,AJ Hosein,32.49,1,1359514,Sunrisers Hyderabad
L Ngidi,L Ngidi,32.41,16,1473503,Royal Challengers Bengaluru
KT Maphaka,KT Maphaka,32.16,4,1473500,Rajasthan Royals
Mohsin Khan,Mohsin Khan,32.15,23,1426305,Lucknow Super Giants
TM Dilshan,TM Dilshan,32.08,50,598033,Royal Challengers Bangalore
Prince Yadav,Prince Yadav,31.94,6,1473491,Lucknow Super Giants
NS Naik,NS Naik,31.92,4,1216508,Kings XI Punjab
IC Porel,IC Porel,31.91,1,1254111,Punjab Kings
C Madan,C Madan,31.57,1,419152,Mumbai Indians
Navdeep Saini,Navdeep Saini,31.52,4,1359540,Rajasthan Royals
MP Yadav,MP Yadav,31.49,6,1473491,Lucknow Super Giants
A Flintoff,A Flintoff,31.09,3,392189,Chennai Super Kings
A Uniyal,A Uniyal,30.59,2,419111,Rajasthan Royals
D Kalyankrishna,D Kalyankrishna,30.41,3,335999,Deccan Chargers
RR Bhatkal,RR Bhatkal,30.3,1,548318,Royal Challengers Bangalore
Gagandeep Singh,Gagandeep Singh,30.01,4,336031,Kings XI Punjab
MS Gony,MS Gony,29.96,44,1082593,Kings XI Punjab
Arshad Khan (2),Arshad Khan (2),29.36,1,1426266,Lucknow Super Giants
MJ Suthar,MJ Suthar,29.24,1,1426290,Gujarat Titans
DR Martyn,DR Martyn,29.14,1,419115,Rajasthan Royals
Harshit Rana,Harshit Rana,29.12,32,1473505,Kolkata Knight Riders
P Amarnath,P Amarnath,28.75,6,336013,Chennai Super Kings
Musheer Khan,Musheer Khan,28.56,1,1473508,Punjab Kings
T Kohler-Cadmore,T Kohler-Cadmore,28.5,3,1426311,Rajasthan Royals
Karanveer Singh,Karanveer Singh,28.43,9,829785,Kings XI Punjab
Gurnoor Brar,Gurnoor Brar,28.38,1,1359512,Punjab Kings
AS Joseph,AS Joseph,28.34,22,1422128,Gujarat Titans
Mohammad Ashraful,Mohammad Ashraful,28.02,1,392235,Mumbai Indians
L Wood,L Wood,27.17,2,1426281,Mumbai Indians
Ravi Bishnoi,Ravi Bishnoi,26.93,76,1473499,Lucknow Super Giants
CJ Dala,CJ Dala,26.79,1,1136605,Delhi Daredevils
V Kaverappa,V Kaverappa,26.33,1,1426296,Punjab Kings
A Nel,A Nel,26.19,1,336032,Mumbai Indians
Harmeet Singh (2),Harmeet Singh (2),26.07,1,598009,Rajasthan Royals
JJ van der Wath,JJ van der Wath,25.34,3,501260,Royal Challengers Bangalore
I Malhotra,I Malhotra,25.14,1,501243,Deccan Chargers
RJW Topley,RJW Topley,25.07,6,1473510,Royal Challengers Bengaluru
Yashpal Singh,Yashpal Singh,24.67,4,392233,Kolkata Knight Riders
UA Birla,UA Birla,24.07,1,598053,Pune Warriors
R McLaren,R McLaren,24.03,18,598050,Kolkata Knight Riders
KAJ Roach,KAJ Roach,23.59,2,419135,Deccan Chargers
A Nortje,A Nortje,23.17,48,1473505,Delhi Capitals
TD Paine,TD Paine,23.0,2,501232,Pune Warriors
SS Agarwal,SS Agarwal,22.75,1,1082616,Gujarat Lions
Simarjeet Singh,Simarjeet Singh,22.16,14,1473457,Sunrisers Hyderabad
K Santokie,K Santokie,21.64,2,734025,Mumbai Indians
OF Smith,OF Smith,21.61,6,1304074,Punjab Kings
X Thalaivan Sargunam,X Thalaivan Sargunam,21.43,1,598030,Sunrisers Hyderabad
S Midhun,S Midhun,20.84,1,1178396,Rajasthan Royals
P Prasanth,P Prasanth,20.57,1,501258,Kochi Tuskers Kerala
JA Richardson,JA Richardson,19.27,4,1422138,Delhi Capitals
PWA Mulder,PWA Mulder,18.26,1,1473447,Sunrisers Hyderabad
B Geeves,B Geeves,17.04,2,336032,Delhi Daredevils
Mohit Rathee,Mohit Rathee,16.6,1,1359488,Punjab Kings
S Sriram,S Sriram,16.45,2,501257,Delhi Daredevils
Abdur Razzak,Abdur Razzak,15.71,1,336023,Royal Challengers Bangalore
A Dananjaya,A Dananjaya,10.93,1,1136569,Mumbai Indians
D Jansen,D Jansen,7.93,1,1359496,Mumbai Indians
MG Neser,MG Neser,3.48,1,598064,Kings XI Punjab
Tanush Kotian,Tanush Kotian,1.44,1,1426265,Rajasthan Royals
P Ray Barman,P Ray Barman,0.0,1,1175366,Royal Challengers Bangalore
Mashrafe Mortaza,Mashrafe Mortaza,0.0,1,392228,Kolkata Knight Riders
Karim Janat,Karim Janat,0.0,1,1473484,Gujarat Titans
