player,player_name,impact_metric_last10,matches_available,last_match_id,team
JD Unadkat,JD Unadkat,58.55,111,1473505,Delhi Daredevils
AM Rahane,AM Rahane,58.54,183,1473505,Rising Pune Supergiants
KMDN Kulasekara,KMDN Kulasekara,58.41,5,548343,Chennai Super Kings
SMSM Senanayake,SMSM Senanayake,58.4,8,598061,Kolkata Knight Riders
LJ Wright,LJ Wright,58.38,7,598067,Pune Warriors
BB McCullum,BB McCullum,58.23,109,1136595,Gujarat Lions
SS Mundhe,SS Mundhe,58.22,1,501265,Pune Warriors
AUK Pathan,AUK Pathan,58.17,7,548356,Royal Challengers Bangalore
MJ Lumb,MJ Lumb,58.12,12,501256,Deccan Chargers
Aniket Verma,Aniket Verma,58.1,12,1473505,Sunrisers Hyderabad
N Rana,N Rana,58.09,114,1473487,Mumbai Indians
I Udana,I Udana,58.06,10,1216547,Royal Challengers Bangalore
AD Mascarenhas,AD Mascarenhas,57.97,13,598021,Kings XI Punjab
C Nanda,C Nanda,57.95,3,392227,Mumbai Indians
R Bhatia,R Bhatia,57.95,94,1082599,Rising Pune Supergiants
MK Lomror,MK Lomror,57.87,37,1426310,Royal Challengers Bengaluru
KK Nair,KK Nair,57.83,76,1485779,Delhi Daredevils
Ankit Sharma,Ankit Sharma,57.78,21,1136603,Rising Pune Supergiants
AT Rayudu,AT Rayudu,57.68,185,1370353,Mumbai Indians
Ramandeep Singh,Ramandeep Singh,57.35,21,1473505,Kolkata Knight Riders
MC Henriques,MC Henriques,57.33,62,1254094,Sunrisers Hyderabad
BA Bhatt,BA Bhatt,57.28,15,598059,Kings XI Punjab
RM Patidar,RM Patidar,57.11,38,1473511,Royal Challengers Bengaluru
Sohail Tanvir,Sohail Tanvir,57.06,11,336040,Rajasthan Royals
A Chandila,A Chandila,57.04,12,598052,Rajasthan Royals
Rahmanullah Gurbaz,Rahmanullah Gurbaz,57.02,18,1473494,Kolkata Knight Riders
RE van der Merwe,RE van der Merwe,57.01,21,598062,Delhi Daredevils
BAW Mendis,BAW Mendis,56.97,10,598055,Pune Warriors
MF Maharoof,MF Maharoof,56.75,20,419149,Delhi Daredevils
RK Singh,RK Singh,56.7,51,1473505,Kolkata Knight Riders
MW Short,MW Short,56.67,6,1359520,Punjab Kings
