match_id,innings,batter,entry_seq,exit_seq,balls,runs,balls_pp,balls_middle,balls_death,entry_score,entry_wkts,entry_balls_remaining,entry_required_rr,pressure_proxy,fours,sixes,expected_runs,bat_residual
1082595,1,SR Watson,2,54,24,24,17,7,0,0,0,0,0,0,0,0,28.77782,-4.777820587158203
1082595,1,STR Binny,55,94,18,16,0,18,0,0,0,0,0,0,0,0,20.744318,-4.744318008422852
1082595,1,TS Mills,122,124,3,0,0,0,3,0,0,0,0,0,0,0,3.5800433,-3.580043315887451
1082595,1,Vishnu Vinod,95,104,5,9,0,2,3,0,0,0,0,0,0,0,5.20294,3.797060012817383
1082595,2,A Mishra,103,124,14,8,0,0,14,0,0,0,0,0,0,0,18.241467,-10.241466522216797
1082595,2,AP Tare,1,29,17,18,17,0,0,0,0,0,0,0,0,0,22.013836,-4.013835906982422
1082595,2,CH Morris,69,82,5,4,0,5,0,0,0,0,0,0,0,0,4.372613,-0.37261295318603516
1082595,2,CR Brathwaite,85,93,5,1,0,5,0,0,0,0,0,0,0,0,4.372613,-3.372612953186035
1082595,2,KK Nair,30,34,3,4,3,0,0,0,0,0,0,0,0,0,1.6636144,2.3363856077194214
1082595,2,PJ Cummins,94,102,6,6,0,4,2,0,0,0,0,0,0,0,6.642337,-0.6423368453979492
1082595,2,RR Pant,48,119,36,57,0,31,5,0,0,0,0,0,0,0,55.379093,1.6209068298339844
1082595,2,S Nadeem,120,121,2,0,0,0,2,0,0,0,0,0,0,0,1.8534261,-1.8534260988235474
1082595,2,SV Samson,35,68,12,13,2,10,0,0,0,0,0,0,0,0,13.201715,-0.20171546936035156
1082595,2,SW Billings,5,46,19,25,14,5,0,0,0,0,0,0,0,0,23.28499,1.7150096893310547
1082595,2,Z Khan,123,123,1,1,0,0,1,0,0,0,0,0,0,0,0.6544479,0.34555208683013916
1082596,1,AJ Finch,33,38,5,3,3,2,0,0,0,0,0,0,0,0,3.4443414,-0.44434142112731934
1082596,1,BB McCullum,4,29,10,5,10,0,0,0,0,0,0,0,0,0,10.491008,-5.4910078048706055
1082596,1,Basil Thampi,107,120,8,13,0,0,8,0,0,0,0,0,0,0,13.289077,-0.2890768051147461
1082596,1,DR Smith,57,100,27,37,0,25,2,0,0,0,0,0,0,0,36.641872,0.3581275939941406
1082596,1,DS Kulkarni,103,106,2,1,0,0,2,0,0,0,0,0,0,0,1.8954917,-0.8954917192459106
1082596,1,JJ Roy,1,32,21,31,21,0,0,0,0,0,0,0,0,0,28.674063,2.325937271118164
1082596,1,KD Karthik,39,104,32,30,0,27,5,0,0,0,0,0,0,0,39.027874,-9.027873992919922
1082596,1,P Kumar,105,119,7,7,0,0,7,0,0,0,0,0,0,0,10.325711,-3.325711250305176
1082596,1,SK Raina,30,54,8,5,2,6,0,0,0,0,0,0,0,0,6.871003,-1.8710031509399414
1082596,2,DA Warner,1,96,45,76,17,28,0,0,0,0,0,0,0,0,73.86183,2.1381683349609375
1082596,2,MC Henriques,20,95,39,52,10,29,0,0,0,0,0,0,0,0,49.25531,2.74468994140625
1082596,2,S Dhawan,3,19,9,9,9,0,0,0,0,0,0,0,0,0,9.502863,-0.5028629302978516
1082597,1,CA Lynn,3,51,22,30,17,5,0,0,0,0,0,0,0,0,30.102098,-0.10209846496582031
1082597,1,CR Woakes,105,115,8,9,0,0,8,0,0,0,0,0,0,0,13.289077,-4.289076805114746
1082597,1,G Gambhir,1,30,13,19,13,0,0,0,0,0,0,0,0,0,16.133606,2.86639404296875
1082597,1,MK Pandey,35,127,46,77,3,30,13,0,0,0,0,0,0,0,74.22316,2.7768402099609375
1082597,1,RV Uthappa,31,33,3,4,3,0,0,0,0,0,0,0,0,0,1.5898856,2.4101144075393677
1082597,1,SA Yadav,78,103,15,17,0,14,1,0,0,0,0,0,0,0,19.287758,-2.2877578735351562
1082597,1,SP Narine,117,128,2,1,0,0,2,0,0,0,0,0,0,0,1.8954917,-0.8954917192459106
1082597,1,YK Pathan,52,76,11,6,0,11,0,0,0,0,0,0,0,0,11.025986,-5.0259857177734375
1082597,2,HH Pandya,105,126,11,29,0,0,11,0,0,0,0,0,0,0,18.741707,10.258293151855469
1082597,2,Harbhajan Singh,119,119,1,1,0,0,1,0,0,0,0,0,0,0,0.6544479,0.34555208683013916
1082597,2,JC Buttler,6,57,22,28,12,10,0,0,0,0,0,0,0,0,26.56358,1.4364204406738281
1082597,2,KA Pollard,80,103,17,17,0,16,1,0,0,0,0,0,0,0,22.0729,-5.072900772094727
1082597,2,KH Pandya,66,79,6,11,0,6,0,0,0,0,0,0,0,0,6.080843,4.919157028198242
1082597,2,N Rana,52,118,29,50,0,19,10,0,0,0,0,0,0,0,48.041977,1.9580230712890625
1082597,2,PA Patel,1,51,27,30,24,3,0,0,0,0,0,0,0,0,38.863617,-8.863616943359375
1082597,2,RG Sharma,58,65,6,2,0,6,0,0,0,0,0,0,0,0,6.080843,-4.080842971801758
1082598,1,AB de Villiers,11,123,46,89,11,19,16,0,0,0,0,0,0,0,86.94365,2.0563507080078125
1082598,1,KM Jadhav,23,30,4,1,4,0,0,0,0,0,0,0,0,0,2.8145251,-1.8145251274108887
1082598,1,Mandeep Singh,32,80,34,28,5,29,0,0,0,0,0,0,0,0,37.934483,-9.93448257446289
1082598,1,SR Watson,1,6,4,1,4,0,0,0,0,0,0,0,0,0,2.8145251,-1.8145251274108887
1082598,1,STR Binny,83,120,20,18,0,12,8,0,0,0,0,0,0,0,22.963156,-4.963155746459961
1082598,1,Vishnu Vinod,2,21,12,7,12,0,0,0,0,0,0,0,0,0,14.736694,-7.7366943359375
1082598,2,AR Patel,42,51,6,9,0,6,0,0,0,0,0,0,0,0,6.080843,2.919157028198242
1082598,2,GJ Maxwell,52,89,22,43,0,22,0,0,0,0,0,0,0,0,32.439503,10.560497283935547
1082598,2,HM Amla,3,87,38,58,15,23,0,0,0,0,0,0,0,0,52.136112,5.863887786865234
1082598,2,M Vohra,1,37,21,34,21,0,0,0,0,0,0,0,0,0,33.863224,0.13677597045898438
1082599,1,AP Tare,1,8,5,0,5,0,0,0,0,0,0,0,0,0,3.7792633,-3.7792632579803467
1082599,1,CH Morris,116,125,9,38,0,0,9,0,0,0,0,0,0,0,13.757278,24.242721557617188
1082599,1,CJ Anderson,99,120,4,2,0,2,2,0,0,0,0,0,0,0,3.1069212,-1.1069211959838867
1082599,1,RR Pant,54,96,22,31,0,22,0,0,0,0,0,0,0,0,26.969887,4.030113220214844
1082599,1,SV Samson,9,115,63,102,19,31,13,0,0,0,0,0,0,0,102.13335,-0.1333465576171875
1082599,1,SW Billings,6,53,17,24,12,5,0,0,0,0,0,0,0,0,20.073784,3.9262161254882812
1082599,2,A Zampa,83,97,7,5,0,7,0,0,0,0,0,0,0,0,6.6497736,-1.6497735977172852
1082599,2,AB Dinda,89,101,7,7,0,6,1,0,0,0,0,0,0,0,6.3274713,0.6725287437438965
1082599,2,AM Rahane,1,20,9,10,9,0,0,0,0,0,0,0,0,0,9.502863,0.49713706970214844
1082599,2,BA Stokes,42,50,5,2,0,5,0,0,0,0,0,0,0,0,4.372613,-2.372612953186035
1082599,2,DL Chahar,77,88,6,14,0,6,0,0,0,0,0,0,0,0,6.080843,7.919157028198242
1082599,2,F du Plessis,21,43,7,8,4,3,0,0,0,0,0,0,0,0,5.417842,2.582158088684082
1082599,2,Imran Tahir,99,100,2,0,0,2,0,0,0,0,0,0,0,0,1.1332941,-1.1332941055297852
1082599,2,MA Agarwal,2,31,18,20,18,0,0,0,0,0,0,0,0,0,23.768534,-3.768533706665039
1082599,2,MS Dhoni,44,75,14,11,0,14,0,0,0,0,0,0,0,0,17.259531,-6.259531021118164
1082599,2,R Bhatia,51,82,17,16,0,17,0,0,0,0,0,0,0,0,20.15464,-4.154640197753906
1082599,2,RA Tripathi,33,38,5,10,5,0,0,0,0,0,0,0,0,0,4.0079684,5.992031574249268
1082600,1,B Kumar,123,126,3,4,0,0,3,0,0,0,0,0,0,0,3.5800433,0.41995668411254883
1082600,1,BCJ Cutting,93,112,10,20,0,3,7,0,0,0,0,0,0,0,14.380061,5.619938850402832
1082600,1,DA Warner,6,63,34,49,21,13,0,0,0,0,0,0,0,0,49.459248,-0.4592475891113281
1082600,1,DJ Hooda,65,82,9,9,0,9,0,0,0,0,0,0,0,0,8.747133,0.2528667449951172
1082600,1,NV Ojha,99,121,9,9,0,1,8,0,0,0,0,0,0,0,11.592942,-2.592942237854004
1082600,1,Rashid Khan,116,124,4,2,0,0,4,0,0,0,0,0,0,0,5.1580563,-3.1580562591552734
1082600,1,S Dhawan,1,92,42,47,15,27,0,0,0,0,0,0,0,0,54.64765,-7.647651672363281
1082600,1,V Shankar,113,115,2,1,0,0,2,0,0,0,0,0,0,0,1.8954917,-0.8954917192459106
1082600,1,Yuvraj Singh,85,97,7,5,0,7,0,0,0,0,0,0,0,0,6.068184,-1.0681838989257812
1082600,2,HH Pandya,106,110,3,2,0,0,3,0,0,0,0,0,0,0,3.4023733,-1.4023733139038086
1082600,2,Harbhajan Singh,111,113,3,3,0,0,3,0,0,0,0,0,0,0,3.4023733,-0.4023733139038086
